# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C3N6O6	
1000        384          2	 192	 192	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C3N6O6	
2000        384          2	 192	 192	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C3N6O6	
3000        384          2	 192	 192	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C3N6O6	
4000        384          2	 192	 192	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C3N6O6	
5000        384          2	 192	 192	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C3N6O6	
6000        384          2	 192	 192	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C3N6O6	
7000        384          2	 192	 192	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C3N6O6	
8000        384          2	 192	 192	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C3N6O6	
9000        384          2	 192	 192	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C3N6O6	
10000        384          2	 192	 192	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C3N6O6	
11000        384          2	 192	 192	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C3N6O6	
12000        384          2	 192	 192	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C3N6O6	
13000        384          2	 192	 192	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C3N6O6	
14000        384          2	 192	 192	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C3N6O6	
15000        384          2	 192	 192	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C3N6O6	
16000        384          2	 192	 192	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C3N6O6	
17000        384          2	 192	 192	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C3N6O6	
18000        384          2	 192	 192	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C3N6O6	
19000        384          2	 192	 192	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C3N6O6	
20000        384          2	 192	 192	
